"X.1","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
93,"SAMD3",2.13739333994221e-304,1.48672847711399,0.169,0.065,6.99739831630282e-300,"CD8+ Cytotoxic T","SAMD3"
95,"FCGR3A",6.11575039829111e-299,0.709799726722946,0.211,0.088,2.00217436539254e-294,"CD8+ Cytotoxic T","FCGR3A"
96,"COTL1",1.91735107694726e-296,-1.24267644663589,0.194,0.372,6.27702395570995e-292,"CD8+ Cytotoxic T","COTL1"
97,"SRGN",2.83191843834588e-292,0.678170280027364,0.476,0.312,9.27113458345676e-288,"CD8+ Cytotoxic T","SRGN"
98,"FCER1G",5.7278536301908e-289,-3.61149479782125,0.022,0.144,1.87518472145187e-284,"CD8+ Cytotoxic T","FCER1G"
99,"SELL",3.38599779788708e-285,-1.26798570914078,0.13,0.295,1.10850795907227e-280,"CD8+ Cytotoxic T","SELL"
100,"RPS28",1.09334593634032e-284,-0.344846329910764,0.9,0.944,3.57939592639095e-280,"CD8+ Cytotoxic T","RPS28"
101,"GTF3C1",2.73024569902807e-280,2.27638247137036,0.072,0.015,8.9382783694781e-276,"CD8+ Cytotoxic T","GTF3C1"
102,"LEF1",1.4415719286948e-278,-2.10802419383409,0.048,0.181,4.71941818016103e-274,"CD8+ Cytotoxic T","LEF1"
103,"RPL35A",9.66865480518699e-278,-0.296524800542796,0.953,0.968,3.16532421012212e-273,"CD8+ Cytotoxic T","RPL35A"
104,"MYO1F",3.30837022981025e-277,1.17422534780291,0.215,0.1,1.08309424583528e-272,"CD8+ Cytotoxic T","MYO1F"
106,"GPR56",4.23070015726273e-275,1.81863283778976,0.088,0.022,1.38504661748467e-270,"CD8+ Cytotoxic T","GPR56"
108,"PLA2G16",1.2569707419912e-273,1.57836598838298,0.128,0.044,4.11507081513079e-269,"CD8+ Cytotoxic T","PLA2G16"
110,"JUNB",4.48574055885188e-269,-0.478875518334388,0.714,0.823,1.46854174415693e-264,"CD8+ Cytotoxic T","JUNB"
111,"TPST2",1.69504818037029e-260,1.32208629005411,0.182,0.08,5.54924873289627e-256,"CD8+ Cytotoxic T","TPST2"
112,"RPL5",1.09735183856693e-259,-0.2882534278728,0.952,0.952,3.59251044910041e-255,"CD8+ Cytotoxic T","RPL5"
113,"RPL22",2.10105602155843e-253,-0.562016557775376,0.548,0.699,6.878437203378e-249,"CD8+ Cytotoxic T","RPL22"
114,"EEF1B2",4.66321125122492e-248,-0.421771410926729,0.741,0.835,1.52664209942601e-243,"CD8+ Cytotoxic T","EEF1B2"
116,"CALM1",1.0679669038674e-246,0.567931695194,0.672,0.561,3.49631004988108e-242,"CD8+ Cytotoxic T","CALM1"
117,"RPL7",3.13400969020819e-245,-0.268593386373444,0.98,0.976,1.02601209238036e-240,"CD8+ Cytotoxic T","RPL7"
118,"RPL29",1.83531065485184e-243,-0.254982984771461,0.969,0.969,6.00844002185395e-239,"CD8+ Cytotoxic T","RPL29"
120,"UBB",2.5384406421903e-235,0.416724660902919,0.805,0.726,8.31034697440261e-231,"CD8+ Cytotoxic T","UBB"
121,"KLRC1",3.98973053391884e-228,1.55258296285826,0.09,0.027,1.30615798219435e-223,"CD8+ Cytotoxic T","KLRC1"
122,"PPP2R5C",3.53371857914693e-226,1.11769125666754,0.239,0.129,1.15686878844112e-221,"CD8+ Cytotoxic T","PPP2R5C"
123,"NPM1",1.46985014676814e-221,-0.469145950116113,0.645,0.758,4.81199541048953e-217,"CD8+ Cytotoxic T","NPM1"
124,"S100A6",2.57373449289964e-218,0.292385592654888,0.746,0.63,8.42589198285485e-214,"CD8+ Cytotoxic T","S100A6"
125,"RARRES3",1.06667358900419e-213,0.664144097969807,0.49,0.363,3.49207599568192e-209,"CD8+ Cytotoxic T","RARRES3"
126,"RPL30",1.28879202329817e-211,-0.268597730524466,0.946,0.958,4.21924732587356e-207,"CD8+ Cytotoxic T","RPL30"
127,"AC092580.4",6.10751895544239e-211,2.20758115742677,0.06,0.014,1.99947955563273e-206,"CD8+ Cytotoxic T","AC092580.4"
129,"MYL12A",6.61140653396475e-208,0.383788654519149,0.827,0.761,2.16444227108938e-203,"CD8+ Cytotoxic T","MYL12A"
130,"C6orf48",9.53976886299968e-206,-0.71686946147653,0.297,0.457,3.12312953036883e-201,"CD8+ Cytotoxic T","C6orf48"
132,"C9orf142",1.01476544432214e-191,0.822389451534757,0.319,0.205,3.32213911162181e-187,"CD8+ Cytotoxic T","C9orf142"
133,"GUK1",2.48209673560125e-191,0.633268547180358,0.478,0.364,8.12588829301139e-187,"CD8+ Cytotoxic T","GUK1"
134,"CD27",6.40142166349227e-191,-0.715884987872011,0.236,0.388,2.0956974241941e-186,"CD8+ Cytotoxic T","CD27"
135,"TPT1",5.34911671615546e-190,-0.256740128568167,0.951,0.955,1.75119383053497e-185,"CD8+ Cytotoxic T","TPT1"
136,"RPS20",3.59791610676055e-188,-0.293213929903859,0.893,0.929,1.17788577503127e-183,"CD8+ Cytotoxic T","RPS20"
137,"MT-CYB",4.92184647046836e-188,0.349491023209488,0.878,0.837,1.61131409750193e-183,"CD8+ Cytotoxic T","MT-CYB"
139,"HLA-DPB1",7.755391507634e-186,-0.362663827288585,0.35,0.199,2.53896007176922e-181,"CD8+ Cytotoxic T","HLA-DPB1"
140,"RPL37",6.29918606645081e-183,-0.345667549860473,0.766,0.851,2.06222753443467e-178,"CD8+ Cytotoxic T","RPL37"
141,"GPX1",3.9097651167329e-179,-1.57220969257784,0.15,0.275,1.27997890391602e-174,"CD8+ Cytotoxic T","GPX1"
143,"RNASET2",3.4960446748511e-173,-0.837354165745596,0.212,0.348,1.14453510565275e-168,"CD8+ Cytotoxic T","RNASET2"
144,"ITGB2",1.02939185408745e-171,0.606233431423936,0.44,0.324,3.3700230519115e-167,"CD8+ Cytotoxic T","ITGB2"
145,"KLRB1",4.54738770224186e-171,1.44035174498407,0.107,0.043,1.48872378595994e-166,"CD8+ Cytotoxic T","KLRB1"
146,"TBX21",1.23856084794698e-169,1.5648218777405,0.073,0.023,4.05480050400883e-165,"CD8+ Cytotoxic T","TBX21"
147,"RGS10",5.25289568846157e-169,-0.939306014753987,0.171,0.301,1.71969299048855e-164,"CD8+ Cytotoxic T","RGS10"
149,"CD79A",3.9302111232194e-167,-3.67372418844212,0.013,0.086,1.28667251751957e-162,"CD8+ Cytotoxic T","CD79A"
150,"LGALS1",2.72083813560751e-166,0.632921953299626,0.321,0.207,8.90747988835187e-162,"CD8+ Cytotoxic T","LGALS1"
151,"DNAJC1",9.27619079848588e-166,1.27779510599615,0.132,0.061,3.03683934360831e-161,"CD8+ Cytotoxic T","DNAJC1"
152,"PIK3IP1",9.56161683181218e-164,-1.04961298767488,0.129,0.247,3.13028211839867e-159,"CD8+ Cytotoxic T","PIK3IP1"
153,"NACA",1.14095614364671e-162,-0.259135742939232,0.892,0.919,3.73526222307061e-158,"CD8+ Cytotoxic T","NACA"
155,"PTGDR",2.40335244628645e-160,1.61009072843047,0.062,0.018,7.86809523865259e-156,"CD8+ Cytotoxic T","PTGDR"
156,"CD79B",8.74211515401034e-160,-2.38342352950349,0.043,0.13,2.86199365911991e-155,"CD8+ Cytotoxic T","CD79B"
157,"RPL24",3.6698443645241e-157,-0.293179699190322,0.829,0.891,1.2014336480579e-152,"CD8+ Cytotoxic T","RPL24"
158,"CD52",4.73168978228939e-157,0.355510218091633,0.829,0.765,1.5490606009259e-152,"CD8+ Cytotoxic T","CD52"
159,"FTH1",8.94036026810038e-157,-0.52395050103569,0.923,0.951,2.9268951445707e-152,"CD8+ Cytotoxic T","FTH1"
160,"EEF2",9.39110404259749e-157,-0.397911189015576,0.589,0.714,3.07445964146557e-152,"CD8+ Cytotoxic T","EEF2"
161,"NGFRAP1",1.58406145413148e-156,-2.43767314024285,0.021,0.096,5.18590038853563e-152,"CD8+ Cytotoxic T","NGFRAP1"
162,"PSMB9",2.19980622311018e-155,0.668652403247228,0.396,0.291,7.20172561321811e-151,"CD8+ Cytotoxic T","PSMB9"
163,"FLNA",4.85474452421215e-155,0.909557563692261,0.217,0.127,1.58934626233657e-150,"CD8+ Cytotoxic T","FLNA"
164,"OASL",9.39497699831333e-155,2.77598828417613,0.034,0.006,3.07572756970782e-150,"CD8+ Cytotoxic T","OASL"
165,"MYBL1",7.2801647549291e-153,1.98022292115611,0.052,0.014,2.38338033746869e-148,"CD8+ Cytotoxic T","MYBL1"
166,"RPL23",1.44066898067983e-152,-0.445577359773612,0.551,0.675,4.71646210894962e-148,"CD8+ Cytotoxic T","RPL23"
167,"RPL37A",1.81002801894463e-152,-0.317515442311171,0.789,0.86,5.92566972842094e-148,"CD8+ Cytotoxic T","RPL37A"
168,"COL6A2",2.75351644057067e-151,2.22144647876217,0.041,0.009,9.01446212314025e-147,"CD8+ Cytotoxic T","COL6A2"
169,"CD320",2.07911469162885e-150,1.17215288745486,0.164,0.087,6.80660567745453e-146,"CD8+ Cytotoxic T","CD320"
170,"PYHIN1",4.62228130205507e-150,1.40512730823225,0.097,0.04,1.51324245266679e-145,"CD8+ Cytotoxic T","PYHIN1"
171,"CD2",9.43160287430922e-149,0.727638399096269,0.358,0.256,3.08771814899135e-144,"CD8+ Cytotoxic T","CD2"
172,"SH2D2A",1.47989522117541e-148,1.2922312627015,0.104,0.044,4.84488097508406e-144,"CD8+ Cytotoxic T","SH2D2A"
173,"TMEM66",1.5161435569675e-148,-0.472665598862638,0.538,0.656,4.96355077680019e-144,"CD8+ Cytotoxic T","TMEM66"
174,"JUN",2.34042019967309e-148,0.555961199467335,0.629,0.548,7.66206764968975e-144,"CD8+ Cytotoxic T","JUN"
175,"CD3E",6.69932429364804e-148,0.370136974674878,0.665,0.553,2.19322478725449e-143,"CD8+ Cytotoxic T","CD3E"
176,"LINC00152",2.40952356334531e-147,1.23553617492337,0.115,0.052,7.88829824167989e-143,"CD8+ Cytotoxic T","LINC00152"
177,"SPI1",9.60257929436986e-147,-4.80075569044915,0.004,0.063,3.14369240939081e-142,"CD8+ Cytotoxic T","SPI1"
178,"SLAMF7",8.37741193926295e-146,2.0416487052929,0.049,0.013,2.7425971206759e-141,"CD8+ Cytotoxic T","SLAMF7"
179,"HLA-E",7.04520269726388e-145,0.312109910275119,0.813,0.758,2.30645845903025e-140,"CD8+ Cytotoxic T","HLA-E"
180,"SUSD3",1.55941626357925e-142,-1.43773327052695,0.053,0.14,5.10521696370575e-138,"CD8+ Cytotoxic T","SUSD3"
181,"SPON2",3.12330413240205e-142,0.610174970364765,0.135,0.064,1.02250730686578e-137,"CD8+ Cytotoxic T","SPON2"
182,"NAP1L1",6.50229347383832e-140,-0.639928106790871,0.271,0.402,2.12872083746519e-135,"CD8+ Cytotoxic T","NAP1L1"
183,"SYNE2",5.11581323052705e-139,1.27181541899255,0.121,0.058,1.67481493540995e-134,"CD8+ Cytotoxic T","SYNE2"
184,"YWHAQ",7.58781288504503e-139,0.879189644205271,0.254,0.165,2.48409818230604e-134,"CD8+ Cytotoxic T","YWHAQ"
185,"CFP",1.22224970123419e-138,-3.93820904749018,0.006,0.064,4.00140107190049e-134,"CD8+ Cytotoxic T","CFP"
186,"CD3G",1.13599171574541e-137,0.706520945172275,0.35,0.254,3.71900967900732e-133,"CD8+ Cytotoxic T","CD3G"
187,"ID3",1.7505566742169e-137,-2.69453137377867,0.015,0.079,5.73097244005129e-133,"CD8+ Cytotoxic T","ID3"
188,"CST3",6.26689441413578e-135,-3.86077804519296,0.031,0.101,2.05165589329977e-130,"CD8+ Cytotoxic T","CST3"
189,"SPINT2",7.71102929584926e-135,-1.97105435754025,0.024,0.093,2.52443677087513e-130,"CD8+ Cytotoxic T","SPINT2"
190,"CFL1",5.08566639750771e-133,0.254810100083377,0.909,0.88,1.66494546521608e-128,"CD8+ Cytotoxic T","CFL1"
191,"CTSC",4.07285518623996e-129,0.841293678369634,0.22,0.136,1.33337133087124e-124,"CD8+ Cytotoxic T","CTSC"
192,"MT-ND1",9.28062201927345e-129,0.29098280695771,0.826,0.782,3.03829003666974e-124,"CD8+ Cytotoxic T","MT-ND1"
193,"MT-ND4",3.26344600287168e-128,0.288658072311993,0.861,0.825,1.06838695242013e-123,"CD8+ Cytotoxic T","MT-ND4"
194,"PLEKHF1",5.23622236733744e-128,1.14314541560077,0.111,0.052,1.71423447861893e-123,"CD8+ Cytotoxic T","PLEKHF1"
195,"MARCKSL1",2.18168630957371e-127,-1.29942275413228,0.06,0.143,7.1424046402824e-123,"CD8+ Cytotoxic T","MARCKSL1"
196,"TIGIT",5.13962303425837e-127,1.48698148079226,0.073,0.028,1.6826097889555e-122,"CD8+ Cytotoxic T","TIGIT"
197,"RPS11",3.33168854493151e-126,-0.294163971450108,0.777,0.849,1.09072819583968e-121,"CD8+ Cytotoxic T","RPS11"
198,"SLC4A10",3.58383054532693e-126,3.26125124019754,0.02,0.002,1.17327444392913e-121,"CD8+ Cytotoxic T","SLC4A10"
199,"ARPC5L",8.97242992385813e-126,0.882736353449916,0.199,0.12,2.93739410847267e-121,"CD8+ Cytotoxic T","ARPC5L"
200,"RP11-305L7.1",9.85560275936587e-126,3.27873017496816,0.018,0.002,3.2265272313612e-121,"CD8+ Cytotoxic T","RP11-305L7.1"
201,"RPL38",1.52375378068341e-125,-0.390793140989642,0.594,0.706,4.98846512720135e-121,"CD8+ Cytotoxic T","RPL38"
202,"CXCR6",1.61850932971541e-125,3.20029165856592,0.02,0.002,5.2986758436223e-121,"CD8+ Cytotoxic T","CXCR6"
203,"ABI3",7.22052552974518e-125,0.902774140393377,0.159,0.087,2.36385564792798e-120,"CD8+ Cytotoxic T","ABI3"
204,"SNHG7",8.14870586259318e-125,-0.831929959506254,0.145,0.251,2.66772332529576e-120,"CD8+ Cytotoxic T","SNHG7"
205,"C5orf56",1.46782671953075e-124,1.06669523944717,0.143,0.076,4.80537111439977e-120,"CD8+ Cytotoxic T","C5orf56"
206,"CD4",2.20100546600107e-124,-3.73748995437767,0.006,0.059,7.2056516945943e-120,"CD8+ Cytotoxic T","CD4"
207,"FCN1",7.49914802883004e-124,-5.00980264455023,0.004,0.055,2.45507108167838e-119,"CD8+ Cytotoxic T","FCN1"
208,"S100A9",4.50009818589484e-123,-4.16752513993234,0.02,0.081,1.47324214409825e-118,"CD8+ Cytotoxic T","S100A9"
209,"EOMES",9.68761385428785e-123,2.31744492154687,0.031,0.006,3.17153102361676e-118,"CD8+ Cytotoxic T","EOMES"
210,"PRKCQ-AS1",1.15803238759399e-121,-1.08474149105154,0.084,0.172,3.79116643050521e-117,"CD8+ Cytotoxic T","PRKCQ-AS1"
211,"PMAIP1",6.79595316423537e-121,1.11126868555631,0.139,0.075,2.22485914690738e-116,"CD8+ Cytotoxic T","PMAIP1"
212,"LITAF",1.20802491631398e-120,0.691094469195709,0.327,0.238,3.95483197102872e-116,"CD8+ Cytotoxic T","LITAF"
213,"ARPC2",1.68994088785787e-120,0.382454725626596,0.65,0.577,5.53252847866908e-116,"CD8+ Cytotoxic T","ARPC2"
214,"MT-ND2",1.87497214169571e-120,0.375799926887461,0.74,0.687,6.1382837974834e-116,"CD8+ Cytotoxic T","MT-ND2"
215,"DHRS7",8.20692671942051e-120,0.738606038311265,0.26,0.174,2.68678366940389e-115,"CD8+ Cytotoxic T","DHRS7"
218,"TTC38",1.44464311547652e-118,1.30691392044115,0.066,0.024,4.72947263144705e-114,"CD8+ Cytotoxic T","TTC38"
219,"PRR5",2.86245670041538e-118,1.25774648815835,0.098,0.045,9.37111074581988e-114,"CD8+ Cytotoxic T","PRR5"
221,"DUSP1",1.39793176674474e-115,0.617673697983972,0.493,0.416,4.57654901796893e-111,"CD8+ Cytotoxic T","DUSP1"
222,"LIMD2",2.6523783301612e-115,-0.396454447619591,0.503,0.625,8.68335617728174e-111,"CD8+ Cytotoxic T","LIMD2"
223,"GABARAPL1",4.38093345249635e-115,1.61969801258651,0.057,0.02,1.43422999367826e-110,"CD8+ Cytotoxic T","GABARAPL1"
224,"SLC9A3R1",5.42982248646324e-115,0.863064945886052,0.21,0.133,1.77761528561833e-110,"CD8+ Cytotoxic T","SLC9A3R1"
225,"HLA-DRA",1.40591468022265e-114,-2.79891578433529,0.091,0.166,4.6026834801129e-110,"CD8+ Cytotoxic T","HLA-DRA"
227,"RASSF1",3.68706087014867e-113,1.05147861289551,0.124,0.065,1.20706998766927e-108,"CD8+ Cytotoxic T","RASSF1"
228,"C1orf162",4.01952101526522e-113,-0.76440435900354,0.138,0.237,1.31591078997753e-108,"CD8+ Cytotoxic T","C1orf162"
